Month,Day,Period,Solar PV
2,25,23,0.00
2,25,24,0.00
2,26,1,0.00
2,26,2,0.00
2,26,3,0.00
2,26,4,0.00
2,26,5,0.00
2,26,6,0.00
2,26,7,0.00
2,26,8,0.00
2,26,9,26.77
2,26,10,56.62
2,26,11,67.49
2,26,12,71.42
2,26,13,68.89
2,26,14,64.53
2,26,15,63.03
2,26,16,52.65
2,26,17,37.95
2,26,18,16.13
2,26,19,2.70
2,26,20,0.00
2,26,21,0.00
2,26,22,0.00
2,26,23,0.00
2,26,24,0.00
2,27,1,0.00
2,27,2,0.00
2,27,3,0.00
2,27,4,0.00
2,27,5,0.00
2,27,6,0.00
2,27,7,0.00
2,27,8,0.00
2,27,9,21.60
2,27,10,53.96
2,27,11,60.64
2,27,12,63.76
2,27,13,64.60
2,27,14,66.87
2,27,15,62.83
2,27,16,68.42
2,27,17,58.33
2,27,18,39.92
2,27,19,12.38
2,27,20,0.00
2,27,21,0.00
2,27,22,0.00
2,27,23,0.00
2,27,24,0.00
2,28,1,0.00
